Class Name           Precision            Recall              F1-Score          
ApplyEyeMakeup       0.458646616541       0.663043478261       0.542222222222
ApplyLipstick        0.637362637363       0.716049382716       0.674418604651
Archery              0.508474576271       0.526315789474       0.51724137931
BabyCrawling         0.700934579439       0.961538461538       0.810810810811
BalanceBeam          0.8                  0.923076923077       0.857142857143
BandMarching         0.772151898734       0.859154929577       0.813333333333
BaseballPitch        0.93023255814        0.869565217391       0.898876404494
Basketball           0.826086956522       0.678571428571       0.745098039216
BasketballDunk       1.0                  1.0                  1.0
BenchPress           0.931818181818       1.0                  0.964705882353
Biking               0.988372093023       0.904255319149       0.944444444444
Billiards            1.0                  1.0                  1.0
BlowDryHair          0.555555555556       0.546875             0.551181102362
BlowingCandles       0.860465116279       0.822222222222       0.840909090909
BodyWeightSquats     0.690909090909       0.666666666667       0.678571428571
Bowling              0.978723404255       0.92                 0.948453608247
BoxingPunchingBag    0.819277108434       0.781609195402       0.8
BoxingSpeedBag       0.697916666667       0.87012987013        0.774566473988
BreastStroke         0.77380952381        0.928571428571       0.844155844156
BrushingTeeth        0.426470588235       0.252173913043       0.31693989071
CleanAndJerk         0.725663716814       0.921348314607       0.811881188119
CliffDiving          0.837837837838       0.911764705882       0.87323943662
CricketBowling       0.46                 0.511111111111       0.484210526316
CricketShot          0.833333333333       0.487804878049       0.615384615385
CuttingInKitchen     0.701149425287       0.953125             0.807947019868
Diving               0.986486486486       1.0                  0.993197278912
Drumming             0.771653543307       0.907407407407       0.834042553191
Fencing              0.963636363636       0.946428571429       0.954954954955
FieldHockeyPenalty   0.717391304348       0.702127659574       0.709677419355
FloorGymnastics      0.855072463768       0.893939393939       0.874074074074
FrisbeeCatch         0.75                 0.972972972973       0.847058823529
FrontCrawl           0.953488372093       0.585714285714       0.725663716814
GolfSwing            0.692307692308       0.9                  0.782608695652
Haircut              0.223529411765       0.452380952381       0.299212598425
Hammering            0.714285714286       0.25                 0.37037037037
HammerThrow          0.839285714286       0.573170731707       0.68115942029
HandstandPushups     0.933333333333       0.682926829268       0.788732394366
HandstandWalking     0.230769230769       0.11320754717        0.151898734177
HeadMassage          0.88679245283        0.949494949495       0.917073170732
HighJump             0.763157894737       0.508771929825       0.610526315789
HorseRace            1.0                  1.0                  1.0
HorseRiding          0.986666666667       1.0                  0.993288590604
HulaHoop             0.672131147541       1.0                  0.803921568627
IceDancing           0.990825688073       1.0                  0.995391705069
JavelinThrow         0.577777777778       0.553191489362       0.565217391304
JugglingBalls        0.866666666667       0.858490566038       0.862559241706
JumpingJack          0.609756097561       0.78125              0.684931506849
JumpRope             0.985074626866       0.745762711864       0.848874598071
Kayaking             0.746478873239       0.716216216216       0.731034482759
Knitting             0.8875               0.71                 0.788888888889
LongJump             0.686274509804       0.729166666667       0.707070707071
Lunges               0.941176470588       0.484848484848       0.64
MilitaryParade       0.775510204082       0.76                 0.767676767677
Mixing               0.90243902439        0.755102040816       0.822222222222
MoppingFloor         0.633802816901       0.616438356164       0.625
Nunchucks            0.797101449275       0.518867924528       0.628571428571
ParallelBars         0.857142857143       0.964285714286       0.90756302521
PizzaTossing         0.625                0.434782608696       0.512820512821
PlayingCello         0.866666666667       0.896551724138       0.881355932203
PlayingDaf           0.983870967742       0.535087719298       0.693181818182
PlayingDhol          0.915492957746       0.962962962963       0.938628158845
PlayingFlute         0.628099173554       0.767676767677       0.690909090909
PlayingGuitar        0.742857142857       0.764705882353       0.753623188406
PlayingPiano         0.958762886598       0.989361702128       0.973821989529
PlayingSitar         0.896551724138       0.793893129771       0.842105263158
PlayingTabla         0.880952380952       0.991071428571       0.932773109244
PlayingViolin        0.823529411765       0.767123287671       0.794326241135
PoleVault            0.794117647059       0.613636363636       0.692307692308
PommelHorse          0.992424242424       0.984962406015       0.988679245283
PullUps              0.68                 0.576271186441       0.623853211009
Punch                0.943396226415       0.909090909091       0.925925925926
PushUps              0.594594594595       0.647058823529       0.619718309859
Rafting              0.880952380952       0.795698924731       0.83615819209
RockClimbingIndoor   0.965                1.0                  0.982188295165
RopeClimbing         0.79746835443        0.926470588235       0.857142857143
Rowing               0.852941176471       0.960264900662       0.903426791277
SalsaSpin            0.973333333333       0.79347826087        0.874251497006
ShavingBeard         0.369863013699       0.241071428571       0.291891891892
Shotput              0.526315789474       0.5                  0.512820512821
SkateBoarding        0.736111111111       0.963636363636       0.834645669291
Skiing               0.816091954023       0.68932038835        0.747368421053
Skijet               0.946902654867       0.946902654867       0.946902654867
SkyDiving            0.935483870968       0.865671641791       0.899224806202
SoccerJuggling       0.724867724868       0.931972789116       0.815476190476
SoccerPenalty        0.9                  1.0                  0.947368421053
StillRings           0.876923076923       0.904761904762       0.890625
SumoWrestling        0.902173913043       1.0                  0.948571428571
Surfing              0.850574712644       0.913580246914       0.880952380952
Swing                0.568181818182       0.78125              0.657894736842
TableTennisShot      0.867647058824       0.951612903226       0.907692307692
TaiChi               0.861111111111       0.861111111111       0.861111111111
TennisSwing          0.66265060241        0.982142857143       0.791366906475
ThrowDiscus          0.434210526316       0.868421052632       0.578947368421
TrampolineJumping    0.90756302521        0.990825688073       0.947368421053
Typing               0.957142857143       0.881578947368       0.917808219178
UnevenBars           0.984375             0.969230769231       0.976744186047
VolleyballSpiking    0.952380952381       1.0                  0.975609756098
WalkingWithDog       0.765217391304       0.967032967033       0.854368932039
WallPushups          0.736842105263       0.56                 0.636363636364
WritingOnBoard       0.865671641791       1.0                  0.928
YoYo                 0.733333333333       0.578947368421       0.647058823529
